age,qx,px
20,0.11520%,99.88480%
21,0.11520%,99.88480%
22,0.11520%,99.88480%
23,0.11520%,99.88480%
24,0.11520%,99.88480%
25,0.14130%,99.85870%
26,0.14915%,99.85085%
27,0.14915%,99.85085%
28,0.14915%,99.85085%
29,0.14915%,99.85085%
30,0.14915%,99.85085%
31,0.14915%,99.85085%
32,0.14915%,99.85085%
33,0.14915%,99.85085%
34,0.14915%,99.85085%
35,0.22895%,99.77105%
36,0.22895%,99.77105%
37,0.22895%,99.77105%
38,0.22895%,99.77105%
39,0.22895%,99.77105%
40,0.32110%,99.67890%
41,0.32110%,99.67890%
42,0.32110%,99.67890%
43,0.32110%,99.67890%
44,0.32110%,99.67890%
45,0.46265%,99.53735%
46,0.47482%,99.52518%
47,0.47483%,99.52518%
48,0.47483%,99.52518%
49,0.47483%,99.52518%
50,0.70590%,99.29410%
51,0.70590%,99.29410%
52,0.70590%,99.29410%
53,0.70590%,99.29410%
54,0.70590%,99.29410%
55,1.02863%,98.97138%
56,1.02863%,98.97138%
57,1.02863%,98.97138%
58,1.02863%,98.97138%
59,1.02863%,98.97138%
60,0.00000%,100.00000%
61,0.00000%,100.00000%
62,0.00000%,100.00000%
63,0.00000%,100.00000%
64,0.00000%,100.00000%
65,0.00000%,100.00000%
66,0.00000%,100.00000%
67,0.00000%,100.00000%
68,0.00000%,100.00000%
69,0.00000%,100.00000%
70,0.00000%,100.00000%
71,0.00000%,100.00000%
72,0.00000%,100.00000%
73,0.00000%,100.00000%
